PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=6.32 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=13.1 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=7.72 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=11.3 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=7.65 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=8.92 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=7.47 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=7.64 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=11.7 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=8.26 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=8.32 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=6.45 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=7.87 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=7.37 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=11.1 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=10.0 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=12.6 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=7.60 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=10.6 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=10.5 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=7.29 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=12.3 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=10.3 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=11.8 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=9.85 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=8.22 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=7.81 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=9.83 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=10.5 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=11.3 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=10.9 ms
